Date,Consum
1/1/2019 12:00:00 AM,9304518.89
1/1/2019 12:15:00 AM,9304535.43
1/1/2019 12:30:00 AM,9304551.63
1/1/2019 12:45:00 AM,9304568.12
1/1/2019 1:00:00 AM,9304584.43
1/1/2019 1:15:00 AM,9304600.88
1/1/2019 1:30:00 AM,9304617.32
1/1/2019 1:45:00 AM,9304633.72
1/1/2019 2:00:00 AM,9304650.31
1/1/2019 2:15:00 AM,9304666.59
1/1/2019 2:30:00 AM,9304683.07
1/1/2019 2:45:00 AM,9304699.31
1/1/2019 3:00:00 AM,9304715.92
1/1/2019 3:15:00 AM,9304732.17
1/1/2019 3:30:00 AM,9304748.68
1/1/2019 3:45:00 AM,9304764.95
1/1/2019 4:00:00 AM,9304781.58
1/1/2019 4:15:00 AM,9304797.81
1/1/2019 4:30:00 AM,9304814.20
1/1/2019 4:45:00 AM,9304830.59
1/1/2019 5:00:00 AM,9304847.20
1/1/2019 5:15:00 AM,9304863.45
1/1/2019 5:30:00 AM,9304880.16
1/1/2019 5:45:00 AM,9304896.49
1/1/2019 6:00:00 AM,9304912.97
1/1/2019 6:15:00 AM,9304929.31
1/1/2019 6:30:00 AM,9304945.54
1/1/2019 6:45:00 AM,9304962.17
1/1/2019 7:00:00 AM,9304978.47
1/1/2019 7:15:00 AM,9304995.03
1/1/2019 7:30:00 AM,9305011.31
1/1/2019 7:45:00 AM,9305028.01
1/1/2019 8:00:00 AM,9305044.35
1/1/2019 8:15:00 AM,9305060.75
1/1/2019 8:30:00 AM,9305077.31
1/1/2019 8:45:00 AM,9305093.62
1/1/2019 9:00:00 AM,9305110.12
1/1/2019 9:15:00 AM,9305126.42
1/1/2019 9:30:00 AM,9305143.18
1/1/2019 9:45:00 AM,9305159.48
1/1/2019 10:00:00 AM,9305176.23
1/1/2019 10:15:00 AM,9305192.74
1/1/2019 10:30:00 AM,9305209.33
1/1/2019 10:45:00 AM,9305225.66
1/1/2019 11:00:00 AM,9305242.13
1/1/2019 11:15:00 AM,9305258.41
1/1/2019 11:30:00 AM,9305274.87
1/1/2019 11:45:00 AM,9305291.28
1/1/2019 12:00:00 PM,9305307.58
1/1/2019 12:15:00 PM,9305323.91
1/1/2019 12:30:00 PM,9305340.29
1/1/2019 12:45:00 PM,9305356.69
1/1/2019 1:00:00 PM,9305373.19
1/1/2019 1:15:00 PM,9305389.39
1/1/2019 1:30:00 PM,9305405.90
1/1/2019 1:45:00 PM,9305422.04
1/1/2019 2:00:00 PM,9305438.44
1/1/2019 2:15:00 PM,9305454.66
1/1/2019 2:30:00 PM,9305471.12
1/1/2019 2:45:00 PM,9305487.48
1/1/2019 3:00:00 PM,9305503.59
1/1/2019 3:15:00 PM,9305520.13
1/1/2019 3:30:00 PM,9305536.31
1/1/2019 3:45:00 PM,9305552.73
1/1/2019 4:00:00 PM,9305568.87
1/1/2019 4:15:00 PM,9305585.32
1/1/2019 4:30:00 PM,9305601.60
1/1/2019 4:45:00 PM,9305617.72
1/1/2019 5:00:00 PM,9305634.30
1/1/2019 5:15:00 PM,9305651.01
1/1/2019 5:30:00 PM,9305667.75
1/1/2019 5:45:00 PM,9305684.08
1/1/2019 6:00:00 PM,9305700.58
1/1/2019 6:15:00 PM,9305717.29
1/1/2019 6:30:00 PM,9305733.69
1/1/2019 6:45:00 PM,9305750.36
1/1/2019 7:00:00 PM,9305766.87
1/1/2019 7:15:00 PM,9305783.74
1/1/2019 7:30:00 PM,9305800.48
1/1/2019 7:45:00 PM,9305817.03
1/1/2019 8:00:00 PM,9305833.79
1/1/2019 8:15:00 PM,9305850.64
1/1/2019 8:30:00 PM,9305867.51
1/1/2019 8:45:00 PM,9305884.18
1/1/2019 9:00:00 PM,9305900.79
1/1/2019 9:15:00 PM,9305917.60
1/1/2019 9:30:00 PM,9305934.17
1/1/2019 9:45:00 PM,9305950.82
1/1/2019 10:00:00 PM,9305967.44
1/1/2019 10:15:00 PM,9305983.95
1/1/2019 10:30:00 PM,9306000.53
1/1/2019 10:45:00 PM,9306017.39
1/1/2019 11:00:00 PM,9306033.94
1/1/2019 11:15:00 PM,9306050.30
1/1/2019 11:30:00 PM,9306066.89
1/1/2019 11:45:00 PM,9306083.31
1/2/2019 12:00:00 AM,9306100.02
1/2/2019 12:15:00 AM,9306116.33
1/2/2019 12:30:00 AM,9306132.85
1/2/2019 12:45:00 AM,9306149.38
1/2/2019 1:00:00 AM,9306165.77
1/2/2019 1:15:00 AM,9306182.59
1/2/2019 1:30:00 AM,9306199.04
1/2/2019 1:45:00 AM,9306215.76
1/2/2019 2:00:00 AM,9306232.11
1/2/2019 2:15:00 AM,9306248.53
1/2/2019 2:30:00 AM,9306265.14
1/2/2019 2:45:00 AM,9306281.57
1/2/2019 3:00:00 AM,9306298.23
1/2/2019 3:15:00 AM,9306314.55
1/2/2019 3:30:00 AM,9306331.31
1/2/2019 3:45:00 AM,9306347.70
1/2/2019 4:00:00 AM,9306364.10
1/2/2019 4:15:00 AM,9306380.65
1/2/2019 4:30:00 AM,9306397.14
1/2/2019 4:45:00 AM,9306413.78
1/2/2019 5:00:00 AM,9306430.10
1/2/2019 5:15:00 AM,9306446.78
1/2/2019 5:30:00 AM,9306463.17
1/2/2019 5:45:00 AM,9306479.73
1/2/2019 6:00:00 AM,9306496.01
1/2/2019 6:15:00 AM,9306512.39
1/2/2019 6:30:00 AM,9306529.03
1/2/2019 6:45:00 AM,9306545.47
1/2/2019 7:00:00 AM,9306562.24
1/2/2019 7:15:00 AM,9306578.66
1/2/2019 7:30:00 AM,9306595.24
1/2/2019 7:45:00 AM,9306611.49
1/2/2019 8:00:00 AM,9306628.07
1/2/2019 8:15:00 AM,9306644.45
1/2/2019 8:30:00 AM,9306661.14
1/2/2019 8:45:00 AM,9306677.47
1/2/2019 9:00:00 AM,9306694.11
1/2/2019 9:15:00 AM,9306710.47
1/2/2019 9:30:00 AM,9306727.19
1/2/2019 9:45:00 AM,9306743.73
1/2/2019 10:00:00 AM,9306760.77
1/2/2019 10:15:00 AM,9306778.02
1/2/2019 10:30:00 AM,9306794.90
1/2/2019 10:45:00 AM,9306811.84
1/2/2019 11:00:00 AM,9306828.61
1/2/2019 11:15:00 AM,9306845.31
1/2/2019 11:30:00 AM,9306861.95
1/2/2019 11:45:00 AM,9306878.49
1/2/2019 12:00:00 PM,9306895.46
1/2/2019 12:15:00 PM,9306911.81
1/2/2019 12:30:00 PM,9306928.44
1/2/2019 12:45:00 PM,9306944.88
1/2/2019 1:00:00 PM,9306961.61
1/2/2019 1:15:00 PM,9306977.97
1/2/2019 1:30:00 PM,9306994.59
1/2/2019 1:45:00 PM,9307011.11
1/2/2019 2:00:00 PM,9307027.82
1/2/2019 2:15:00 PM,9307044.27
1/2/2019 2:30:00 PM,9307060.91
1/2/2019 2:45:00 PM,9307077.45
1/2/2019 3:00:00 PM,9307094.15
1/2/2019 3:15:00 PM,9307110.56
1/2/2019 3:30:00 PM,9307127.23
1/2/2019 3:45:00 PM,9307143.79
1/2/2019 4:00:00 PM,9307160.47
1/2/2019 4:15:00 PM,9307176.98
1/2/2019 4:30:00 PM,9307193.59
1/2/2019 4:45:00 PM,9307210.66
1/2/2019 5:00:00 PM,9307227.34
1/2/2019 5:15:00 PM,9307243.99
